Survived,Age,Ticket,Fare,Sex_male,Embarked_Q,Embarked_S,Pclass_2,Pclass_3,SibSp_1,SibSp_2,SibSp_3,SibSp_4,SibSp_5,SibSp_8,Parch_1,Parch_2,Parch_3,Parch_4,Parch_5,Parch_6,Parch_9
0,0.4376739132249525,152,-0.7943661863962388,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1,1.5010760041807194,221,-0.8335393231169518,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
0,2.1710193214828526,73,-0.7065762202021955,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,-0.20036734134850762,147,-0.7549993571278234,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1,-0.6257281777308143,138,-0.5837467997079195,False,False,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False
0,-1.3063055159425052,261,-0.7284256844247349,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1,0.054849160480876444,158,-0.803814603357337,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
0,-0.285439508624969,84,0.20578654260384416,True,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False
1,-0.9660168468366598,100,-0.8227114372795333,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
0,-0.7108003450072757,269,-0.023337568702785926,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
0,-0.20036734134850762,195,-0.7912198635481931,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
0,1.416003836904258,259,0.06406028818737199,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,-0.540656010454353,52,1.993237472778331,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
0,2.1710193214828526,74,0.06406028818737199,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
1,1.5010760041807194,362,1.7258006212205081,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
1,-0.4555838431778917,343,0.14535446772066044,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
0,0.4802099968631832,60,-0.5807941694075764,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,-0.7108003450072757,119,-0.8229098540357163,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1,-0.20036734134850762,356,-0.7898403946718728,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
1,1.3309316696277966,120,-0.8229098540357163,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
0,2.1710193214828526,316,1.641945920690762,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
0,-1.731666352324812,277,-1.014438714254137,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
1,-0.20036734134850762,314,0.3325512287624174,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,-0.7108003450072757,313,1.7354474549377892,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1,1.5861481714571808,319,1.993237472778331,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
0,1.7562925060101036,273,-0.47922368707577134,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
1,-0.6257281777308143,14,1.7637927058210838,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
0,-0.5831920940925837,121,-0.8229098540357163,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
0,0.9906430005219513,11,0.2766496698120802,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,-0.20036734134850762,104,-0.14006331184019227,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
0,1.7562925060101036,338,0.06406028818737199,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
0,-0.4555838431778917,283,0.32389175461757097,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1,0.3100656623102605,280,-0.19222802188241522,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False
1,-0.20036734134850762,360,-0.056407028066629394,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False
0,0.054849160480876444,34,1.5639964807617024,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
0,-0.9234807631984291,115,-0.8227114372795333,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1,-0.20036734134850762,166,-0.7839351340711864,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1,-0.7108003450072757,141,-0.7549993571278234,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
0,-0.3705116759014303,172,-0.715434111103225,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
0,-0.20036734134850762,39,1.504745457998656,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
0,0.8204986659690287,204,-0.5304010375455595,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
0,-0.20036734134850762,16,0.09004343483039191,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,0.9906430005219513,347,-0.7933835510322845,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1,0.054849160480876444,65,-0.5500868142840074,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,1.3309316696277966,24,1.3185360565293338,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
0,-0.3705116759014303,355,-0.7898403946718728,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
0,1.3309316696277966,312,0.23885600196768764,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,-0.20036734134850762,243,-0.7981077595128337,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1,2.1710193214828526,30,1.993237472778331,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,0.5652821641396446,290,-0.41308476834808433,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
0,-0.4555838431778917,37,1.6702911715740565,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
0,-0.20036734134850762,344,-0.4540294832490031,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,-0.7958725122837371,131,-0.07766596622910019,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False
1,-0.11529517407204626,49,1.993237472778331,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
0,-0.20036734134850762,335,-0.42824002915368575,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,-1.6465941850483505,249,0.2116918032045305,True,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
0,0.4802099968631832,198,-0.7912198635481931,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
0,-0.3705116759014303,191,-0.8028319679933829,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
0,-0.20036734134850762,253,-0.4036363513869861,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
1,0.5652821641396446,319,1.993237472778331,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,-1.051089014113121,199,-0.7912198635481931,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
0,0.22499349503379915,64,-0.5264657718812621,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,-0.9660168468366598,185,-0.7981077595128337,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1,-0.6257281777308143,159,-0.7992888116329709,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
0,-1.3913776832189666,319,1.993237472778331,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
1,-0.20036734134850762,300,-0.17215013584008163,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,-0.9660168468366598,155,-0.7920040821559643,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
0,1.5010760041807194,22,0.8388304789974198,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,0.1399213277573378,89,0.18393707838130477,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,2.1710193214828526,49,1.993237472778331,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
1,-0.4555838431778917,250,-0.7981077595128337,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
0,-0.7108003450072757,194,-0.7912198635481931,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1,-0.030223006795584907,137,-0.7898403946718728,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
0,-0.07275909043381558,306,0.14535446772066044,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,0.4802099968631832,13,1.993237472778331,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,0.2675295786720298,13,1.993237472778331,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,-0.20036734134850762,219,-0.7839351340711864,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1,2.1710193214828526,28,0.04988766274572473,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
0,0.054849160480876444,85,-0.5500868142840074,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,-0.4555838431778917,236,-0.7981077595128337,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
0,-1.986882854154196,111,-0.4439905402278364,True,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False
0,2.1710193214828526,303,1.993237472778331,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
0,1.6712203387336422,47,0.06406028818737199,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,-0.20036734134850762,201,-0.7912198635481931,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
0,-0.20036734134850762,72,-0.6583515000327506,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,-0.20036734134850762,102,-0.4813873745598628,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
1,-0.20036734134850762,150,-0.7920040821559643,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1,-0.9660168468366598,268,-0.7839351340711864,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1,-0.20036734134850762,224,-0.7981077595128337,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
0,-2.1676612096166763,130,-0.07766596622910019,True,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False
1,-0.6257281777308143,179,-0.5075689379590658,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
0,-0.20036734134850762,168,-0.7969267073926966,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1,-0.20036734134850762,297,1.2923544931301307,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
0,-0.20036734134850762,246,-0.7839351340711864,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
0,-0.3705116759014303,38,0.06406028818737199,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,-0.3705116759014303,209,-0.7959440720287423,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1,2.1710193214828526,46,1.993237472778331,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
0,-0.030223006795584907,354,-0.7898403946718728,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1,-0.7958725122837371,190,-0.7931851342761016,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
0,0.3100656623102605,266,-0.7839351340711864,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1,1.160787335074874,29,1.454947576405188,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
0,-0.20036734134850762,57,0.06406028818737199,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
0,-0.20036734134850762,227,-0.7981077595128337,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
0,-0.285439508624969,178,-0.7969267073926966,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1,-1.1361611813895824,92,-0.761887253092464,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False
0,-0.11529517407204626,278,-0.10010595651170835,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
0,-0.7108003450072757,153,-0.7947630199086051,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
0,-0.20036734134850762,252,-0.7981077595128337,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
0,-0.20036734134850762,163,-0.7526372528875489,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
0,-0.9234807631984291,83,-0.5500868142840074,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,0.9906430005219513,68,-0.4534389571889345,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,-0.20036734134850762,156,-0.7967282906365134,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1,0.5652821641396446,304,0.332357536214715,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,-0.9234807631984291,149,-0.8201556404915562,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1,2.1710193214828526,303,1.993237472778331,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
0,-0.9660168468366598,113,-0.4813873745598628,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
0,-0.20036734134850762,114,-0.8601129958200403,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1,-2.1676612096166763,328,-0.3752911005036918,False,False,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False
0,0.5652821641396446,33,1.993237472778331,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,-0.030223006795584907,337,0.06406028818737199,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
1,-1.476449850495428,286,-0.42017108106890794,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,-0.20036734134850762,232,-0.7981077595128337,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
1,0.4802099968631832,34,1.5639964807617024,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
0,-0.11529517407204626,255,-0.8217288019155791,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
0,-0.20036734134850762,237,-0.7981077595128337,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1,-1.051089014113121,245,-0.4036363513869861,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
0,-0.6257281777308143,210,-0.7959440720287423,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1,-0.20036734134850762,231,-0.06585544502772751,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
0,1.0757151677984127,51,-0.5500868142840074,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,-0.4555838431778917,164,-0.7839351340711864,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
0,0.22499349503379915,357,-0.7839351340711864,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
0,2.0115090078394875,17,0.18216550020109878,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,-0.20036734134850762,256,0.03886608436060375,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
0,-0.20036734134850762,90,-0.8601129958200403,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
0,1.160787335074874,196,-0.7912198635481931,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
0,-0.4555838431778917,216,-0.7931851342761016,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
0,-0.24290342498673828,99,-0.8229098540357163,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
0,-0.285439508624969,81,-0.5500868142840074,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,-0.540656010454353,353,-0.7839351340711864,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
0,0.9055708332454899,294,1.051419860622128,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False
1,-1.6465941850483505,294,1.051419860622128,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False
1,0.3100656623102605,18,1.993237472778331,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,2.1710193214828526,319,1.993237472778331,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
0,-0.11529517407204626,78,0.06406028818737199,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,1.0757151677984127,43,0.09004343483039191,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,0.1399213277573378,171,-0.3138763902565538,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
0,-0.20036734134850762,41,1.2858587064693756,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,-0.6257281777308143,336,-0.7839351340711864,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
0,-0.20036734134850762,20,0.09004343483039191,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
